#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:54:05  50      42     1       10        5       84       61       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.2%   0           0     0     0     0     39000  122000  840   someReplicaSet0011  SEC
11:54:06  41      38     1       7         5       81       62       0          1        49900000000  102000000000  26100000000  51700000000  3       somedatabase1  0.3%   0           0     0     0     0     39000  90000   840   someReplicaSet0011  SEC
11:54:07  57      34     1       9         5       92       65       0          0        49900000000  102000000000  26100000000  51700000000  2       somedatabase1  0.3%   0           0     0     0     0     37000  113000  840   someReplicaSet0011  SEC
11:54:08  50      24     1       10        5       86       54       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     35000  109000  840   someReplicaSet0011  SEC
11:54:09  43      40     1       8         5       82       55       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.2%   0           0     0     0     0     38000  104000  840   someReplicaSet0011  SEC
11:54:10  43      36     1       13        5       85       57       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.3%   0           0     0     0     0     44000  105000  840   someReplicaSet0011  SEC
11:54:11  44      40     1       10        5       83       66       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     42000  101000  840   someReplicaSet0011  SEC
11:54:12  56      32     1       15        5       88       73       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.4%   0           0     0     0     0     36000  112000  840   someReplicaSet0011  SEC
11:54:13  56      49     1       13        5       96       68       0          1        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     57000  142000  840   someReplicaSet0011  SEC
11:54:14  44      39     1       8         4       74       64       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.3%   0           0     0     0     0     47000  108000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
