#(1)                 (2)    (3)    (4)     (5)      (6)     (7)        (8)  (9)  (10)  (11)   (12)   (13)   (14)  (15)  (16)  (17)  (18)
#date-time           procs  procs  mem     mem      mem     mem        swp  swp  io    io     syst   syst   cpu   cpu   cpu   cpu   cpu
#date-time           r      b      swpd    free     buff    cache      si   so   bi    bo     in     cs     us    sy    id    wa    st
2014-07-08-11:54:51  1      0      218852  2154356  422564  120047280  0    0    2     73     0      0      0     0     100   0     0
2014-07-08-11:54:52  0      0      218852  2150768  422564  120047552  0    0    368   9768   10774  14776  0     0     99    0     0
2014-07-08-11:54:53  1      0      218852  2148640  422564  120048024  0    0    184   3628   8751   11273  0     0     99    0     0
2014-07-08-11:54:54  0      0      218852  2152640  422564  120048288  0    0    160   2312   8347   11195  0     0     99    0     0
2014-07-08-11:54:55  0      0      218852  2153112  422564  120048496  0    0    176   2508   8581   11385  0     0     99    0     0
2014-07-08-11:54:56  0      0      218852  2151492  422564  120048792  0    0    188   10936  12652  15129  0     0     99    0     0
2014-07-08-11:54:57  0      0      218852  2152064  422564  120049152  0    0    304   2420   8777   11722  0     0     99    0     0
2014-07-08-11:54:58  0      0      218852  2154672  422564  120049440  0    0    140   4564   9713   11806  0     0     99    0     0
2014-07-08-11:54:59  0      0      218852  2153540  422564  120049712  0    0    200   2568   9098   11967  0     0     99    0     0
2014-07-08-11:55:00  0      0      218852  2147296  422564  120050000  0    0    140   2356   8940   11287  1     0     99    0     0
2014-07-08-11:55:01  0      0      218852  2151144  422568  120050272  0    0    176   5940   9490   12782  0     0     99    0     0
2014-07-08-11:55:02  0      0      218852  2150492  422568  120050456  0    0    132   10212  12423  13798  0     0     99    0     0
2014-07-08-11:55:03  0      1      218852  2149080  422568  120050752  0    0    188   16652  14351  15340  0     0     99    0     0
2014-07-08-11:55:04  2      0      218852  2148956  422568  120051040  0    0    236   2396   9020   11519  0     0     99    0     0
2014-07-08-11:55:05  0      0      218852  2148320  422572  120051360  0    0    228   2572   8866   11044  0     0     99    0     0
2014-07-08-11:55:06  0      0      218852  2149164  422572  120051688  0    0    232   5892   9403   11876  0     0     99    0     0
2014-07-08-11:55:07  0      0      218852  2153988  422572  120052000  0    0    244   2248   8212   10201  0     0     99    0     0
2014-07-08-11:55:08  0      0      218852  2134740  422572  120052264  0    0    160   4740   10355  10615  1     0     99    0     0
2014-07-08-11:55:09  0      0      218852  2136064  422572  120052544  0    0    140   2432   8839   11090  0     0     99    0     0
2014-07-08-11:55:10  0      0      218852  2132964  422572  120052800  0    0    236   6928   11292  12794  0     0     99    0     0
2014-07-08-11:55:11  0      0      218852  2145712  422532  120045296  0    0    148   5908   19358  14125  1     3     96    0     0
#(1)                 (2)    (3)    (4)     (5)      (6)     (7)        (8)  (9)  (10)  (11)   (12)   (13)   (14)  (15)  (16)  (17)  (18)
#date-time           procs  procs  mem     mem      mem     mem        swp  swp  io    io     syst   syst   cpu   cpu   cpu   cpu   cpu
#date-time           r      b      swpd    free     buff    cache      si   so   bi    bo     in     cs     us    sy    id    wa    st
2014-07-08-11:55:12  0      0      218852  2162316  422532  120045472  0    0    292   2276   10933  11450  0     0     99    0     0
2014-07-08-11:55:13  0      0      218852  2159872  422532  120045824  0    0    124   4052   10093  10918  0     0     99    0     0
2014-07-08-11:55:14  0      0      218852  2160628  422532  120046064  0    0    184   8328   10150  13235  0     0     99    0     0
2014-07-08-11:55:15  3      0      218852  2160160  422532  120046360  0    0    160   10012  11775  13051  0     0     99    0     0
2014-07-08-11:55:16  0      0      218852  2159664  422532  120046552  0    0    116   5752   9574   11911  0     0     99    0     0
2014-07-08-11:55:17  0      0      218852  2159796  422532  120046752  0    0    124   6672   10745  12463  0     0     99    0     0
2014-07-08-11:55:18  0      0      218852  2159052  422532  120046976  0    0    212   3172   8654   10326  0     0     99    0     0
2014-07-08-11:55:19  0      0      218852  2160796  422532  120047312  0    0    232   2348   8816   11175  0     0     99    0     0
2014-07-08-11:55:20  0      0      218852  2158812  422532  120047584  0    0    160   2300   8476   10268  0     0     99    0     0
2014-07-08-11:55:21  0      0      218852  2159428  422532  120047872  0    0    196   5540   10028  12622  0     0     99    0     0
2014-07-08-11:55:22  0      0      218852  2157748  422532  120048168  0    0    232   2336   8671   10821  0     0     99    0     0
2014-07-08-11:55:23  3      0      218852  2156156  422532  120048440  0    0    160   5400   10550  11149  0     0     99    0     0
2014-07-08-11:55:24  0      0      218852  2156156  422532  120048720  0    0    180   6468   10651  12643  0     0     99    0     0
2014-07-08-11:55:25  0      0      218852  2156804  422532  120048992  0    0    156   8732   9735   13678  0     0     99    0     0
2014-07-08-11:55:26  0      1      218852  2155728  422532  120049216  0    0    136   5672   8324   11017  0     0     99    0     0
2014-07-08-11:55:27  0      0      218852  2154396  422532  120049408  0    0    176   2268   7638   10179  0     0     99    0     0
2014-07-08-11:55:28  5      0      218852  2152908  422532  120049664  0    0    152   10952  12329  12702  0     0     99    0     0
2014-07-08-11:55:29  0      0      218852  2155752  422532  120049872  0    0    180   2280   8501   11147  0     0     99    0     0
2014-07-08-11:55:30  1      0      218852  2154644  422532  120050112  0    0    228   2420   8064   10681  0     0     99    0     0
2014-07-08-11:55:31  0      0      218852  2151676  422532  120050528  0    0    248   9492   11412  14293  0     0     99    0     0
2014-07-08-11:55:32  0      0      218852  2152792  422532  120050816  0    0    152   2388   8344   11181  0     0     99    0     0
#(1)                 (2)    (3)    (4)     (5)      (6)     (7)        (8)  (9)  (10)  (11)   (12)   (13)   (14)  (15)  (16)  (17)  (18)
#date-time           procs  procs  mem     mem      mem     mem        swp  swp  io    io     syst   syst   cpu   cpu   cpu   cpu   cpu
#date-time           r      b      swpd    free     buff    cache      si   so   bi    bo     in     cs     us    sy    id    wa    st
2014-07-08-11:55:33  0      0      218852  2149860  422532  120051072  0    0    212   4864   9727   11087  0     0     99    0     0
2014-07-08-11:55:34  0      0      218852  2152960  422532  120051376  0    0    232   2372   8461   11345  0     0     99    0     0
2014-07-08-11:55:35  0      0      218852  2152176  422532  120051648  0    0    176   2252   8151   10056  0     0     99    0     0
2014-07-08-11:55:36  0      0      218852  2153036  422532  120051944  0    0    216   11496  10661  14505  0     0     99    0     0
2014-07-08-11:55:37  0      0      218852  2152644  422532  120052192  0    0    224   2500   8841   11923  0     0     99    0     0
2014-07-08-11:55:38  0      0      218852  2151900  422532  120052488  0    0    156   9844   11544  12374  0     0     99    0     0
2014-07-08-11:55:39  0      0      218852  2152644  422536  120052816  0    0    236   2284   7898   11003  0     0     99    0     0
2014-07-08-11:55:40  0      1      218852  2151900  422536  120053112  0    0    164   2508   8649   11342  0     0     99    0     0
2014-07-08-11:55:41  0      0      218852  2143592  422536  120053424  0    0    292   12720  14034  16004  1     0     99    0     0
2014-07-08-11:55:42  0      0      218852  2146320  422536  120053824  0    0    140   2400   8500   11337  0     0     99    0     0
2014-07-08-11:55:43  1      0      218852  2144112  422536  120054120  0    0    344   4080   9241   11328  1     0     99    0     0
2014-07-08-11:55:44  1      0      218852  2147220  422536  120054472  0    0    156   2416   8228   11163  0     0     99    0     0
2014-07-08-11:55:45  0      0      218852  2144652  422536  120054720  0    0    256   7120   11458  13700  0     0     99    0     0
2014-07-08-11:55:46  1      0      218852  2147488  422536  120055072  0    0    224   6516   10538  13105  1     0     99    0     0
2014-07-08-11:55:47  0      0      218852  2142752  422536  120055392  0    0    228   9984   10876  14661  0     0     99    0     0
2014-07-08-11:55:48  2      0      218852  2145000  422536  120055760  0    0    268   3540   9169   11100  0     0     99    0     0
