time,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,ctxt,btime,processes,procs_running,procs_blocked,cpus,sda.reads,sda.reads_merged,sda.read_sectors,sda.read_time_ms,sda.writes,sda.writes_merged,sda.write_sectors,sda.write_time_ms,sda.io_in_progress,sda.io_time_ms,sda.io_queued_ms
2015-01-04T18:15:36.654705Z,2232190,0,861656,25719140,10156,48489,0,0,0,0,3812858809,1420347116,160305,8,0,6,584711,1143789,15793838,1357568,2357799,2788505,608440208,26731764,0,583476,28053396
2015-01-04T18:15:36.756886Z,2232207,0,861670,25719162,10157,48495,0,0,0,0,3812861565,1420347116,160507,3,0,6,584711,1143789,15793838,1357568,2357835,2788610,608441336,26731784,0,583496,28053416
2015-01-04T18:15:36.858488Z,2232220,0,861674,25719205,10158,48496,0,0,0,0,3812862768,1420347116,160507,2,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
2015-01-04T18:15:36.959232Z,2232227,0,861680,25719252,10158,48496,0,0,0,0,3812865092,1420347116,160514,38,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
2015-01-04T18:15:37.060373Z,2232231,0,861693,25719293,10158,48496,0,0,0,0,3812875683,1420347116,160527,2,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
2015-01-04T18:15:37.160965Z,2232234,0,861705,25719335,10158,48497,0,0,0,0,3812884802,1420347116,160537,10,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
2015-01-04T18:15:37.261587Z,2232237,0,861717,25719377,10158,48497,0,0,0,0,3812893211,1420347116,160547,4,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
2015-01-04T18:15:37.362190Z,2232241,0,861729,25719418,10158,48497,0,0,0,0,3812903001,1420347116,160560,2,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
2015-01-04T18:15:37.462741Z,2232245,0,861742,25719459,10158,48497,0,0,0,0,3812912624,1420347116,160571,4,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
2015-01-04T18:15:37.563528Z,2232249,0,861754,25719501,10158,48498,0,0,0,0,3812921222,1420347116,160581,2,0,6,584711,1143789,15793838,1357568,2357853,2788655,608441840,26731788,0,583500,28053420
